data,denoise method,random seed,ARI,NMI,SC
endoderm,mask mse,5555,0.5133311,0.6611017,0.4621921
endoderm-500,mask mse,1111,0.06604978,0.11183436,0.62595594
endoderm-500,mask mse,2222,0.06693704,0.113178834,0.6137141
endoderm-500,mask mse,3333,0.06613403,0.112080455,0.619161
endoderm-500,mask mse,4444,0.06633385,0.11129756,0.60829544
endoderm-500,mask mse,5555,0.06797821,0.112935275,0.6201144
endoderm-1000,mask mse,1111,0.32126784,0.52858907,0.45065254
endoderm-1000,mask mse,2222,0.32043862,0.52656895,0.41786203
endoderm-1000,mask mse,3333,0.34293783,0.5449609,0.47303998
endoderm-1000,mask mse,4444,0.42417073,0.58001804,0.45533594
endoderm-1000,mask mse,5555,0.42475095,0.5910784,0.47142357
endoderm-5000,mask mse,1111,0.50144035,0.6614557,0.5129985
endoderm-5000,mask mse,2222,0.39951268,0.57985216,0.49878782
endoderm-5000,mask mse,3333,0.4876662,0.6195423,0.5139201
endoderm-5000,mask mse,4444,0.48115405,0.6107261,0.4842056
endoderm-5000,mask mse,5555,0.47597584,0.61554265,0.51098275
endoderm-10000,mask mse,1111,0.52103776,0.67187774,0.47468743
endoderm-10000,mask mse,2222,0.56095713,0.7057369,0.48049527
endoderm-10000,mask mse,3333,0.5326131,0.6989879,0.52947843
endoderm-10000,mask mse,4444,0.5912919,0.70726705,0.48261154
endoderm-10000,mask mse,5555,0.5693589,0.6912372,0.48933807
endoderm,dca zinb,1111,0.6463104,0.7719454,0.5999553
endoderm,dca zinb,2222,0.6691051,0.7860343,0.5681611
endoderm,dca zinb,3333,0.65687084,0.78916216,0.6015327
endoderm,dca zinb,4444,0.67979896,0.8063037,0.5816084
endoderm,dca zinb,5555,0.67397624,0.7989672,0.5713337
endoderm,mse,1111,0.58077055,0.72097504,0.53032404
endoderm,mse,2222,0.5345548,0.6842792,0.53474164
endoderm,mse,3333,0.5573662,0.71303266,0.5477645
endoderm,mse,4444,0.56994134,0.7160419,0.5425493
endoderm,mse,5555,0.5657702,0.71301293,0.5414471
